"Energy Consumption by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=2-AEO2015&sourcekey=0"
"Mon Nov 23 2020 07:53:49 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","Growth (2013-2040)"
Residential,,2-AEO2015.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Use: Residential: Propane": Reference case,2-AEO2015.3.ref2015-d021915a,"quads",0.40155,0.428354,0.439143,0.368071,0.351201,0.343855,0.336332,0.329919,0.324044,0.318561,0.313499,0.308711,0.304331,0.300058,0.295839,0.291764,0.287845,0.284084,0.280195,0.276458,0.27265,0.268988,0.265558,0.262318,0.259133,0.256105,0.253139,0.250229,0.247393,"-2.0%"
Kerosene,"Energy Use: Residential: Kerosene": Reference case,2-AEO2015.4.ref2015-d021915a,"quads",0.00773,0.009057,0.010067,0.008559,0.008088,0.007566,0.007119,0.006845,0.006678,0.00651,0.006345,0.006182,0.006027,0.005875,0.005722,0.005571,0.005422,0.005279,0.005138,0.005003,0.00487,0.004743,0.004619,0.0045,0.004384,0.004271,0.004158,0.00405,0.003947,"-3.0%"
Distillate Fuel Oil,"Energy Use: Residential: Distillate Fuel Oil": Reference case,2-AEO2015.5.ref2015-d021915a,"quads",0.48659,0.497497,0.542759,0.46995,0.442073,0.433051,0.421703,0.411206,0.400799,0.390508,0.380472,0.37078,0.361626,0.352599,0.34366,0.334887,0.326169,0.317686,0.309299,0.301237,0.293404,0.285903,0.278622,0.271669,0.264853,0.258302,0.251839,0.245703,0.239814,"-2.7%"
Petroleum and Other Liquids Subtotal,"Energy Use: Residential: Liquid Fuels Subtotal": Reference case,2-AEO2015.6.ref2015-d021915a,"quads",0.89587,0.934908,0.991969,0.84658,0.801362,0.784472,0.765154,0.74797,0.731521,0.715579,0.700316,0.685672,0.671983,0.658532,0.645221,0.632222,0.619436,0.607048,0.594632,0.582698,0.570923,0.559634,0.548798,0.538487,0.52837,0.518679,0.509136,0.499983,0.491154,"-2.4%"
Natural Gas,"Energy Use: Residential: Natural Gas": Reference case,2-AEO2015.7.ref2015-d021915a,"quads",4.25223,5.05301,5.28238,4.784658,4.703927,4.700979,4.689233,4.663594,4.630202,4.599855,4.579032,4.564395,4.55393,4.543219,4.532126,4.525889,4.524023,4.523006,4.520022,4.510405,4.493409,4.47432,4.45463,4.434199,4.412216,4.390441,4.366485,4.33947,4.312628,"-0.6%"
Renewable Energy,"Energy Use: Residential: Renewable Energy": Reference case,2-AEO2015.8.ref2015-d021915a,"quads",0.443687,0.582492,0.612045,0.471939,0.441049,0.430118,0.426082,0.420131,0.414397,0.409562,0.405304,0.401409,0.397574,0.393835,0.390189,0.38665,0.383236,0.379838,0.376082,0.372586,0.369099,0.365934,0.363077,0.360497,0.358153,0.356197,0.354633,0.3533,0.352015,"-1.8%"
Electricity,"Energy Use: Residential: Electricity": Reference case,2-AEO2015.9.ref2015-d021915a,"quads",4.68984,4.746398,4.827324,4.801558,4.826677,4.840569,4.866704,4.893482,4.855627,4.845632,4.851963,4.868118,4.894215,4.915204,4.941789,4.973267,5.008399,5.047768,5.077324,5.106879,5.134759,5.16406,5.195622,5.230103,5.267591,5.306083,5.343351,5.378926,5.415897,"0.5%"
Delivered Energy,"Energy Use: Residential: Delivered Energy": Reference case,2-AEO2015.10.ref2015-d021915a,"quads",10.281629,11.31681,11.713718,10.904736,10.773016,10.756138,10.747172,10.725176,10.631748,10.570629,10.536615,10.519595,10.517703,10.510789,10.509325,10.518027,10.535095,10.557661,10.568059,10.572569,10.56819,10.56395,10.562128,10.563286,10.566329,10.571401,10.573605,10.571679,10.571692,"-0.3%"
Electricity Related Losses,"Energy Use: Residential: Electricity Related Losses": Reference case,2-AEO2015.11.ref2015-d021915a,"quads",9.573026,9.786705,9.926682,9.79935,9.771043,9.685353,9.705523,9.794574,9.750549,9.713399,9.696688,9.713199,9.744728,9.741775,9.762726,9.797265,9.827043,9.872313,9.910666,9.939963,9.977901,10.016555,10.057722,10.098541,10.145836,10.196005,10.24911,10.291571,10.334434,"0.2%"
Total,"Energy Use: Residential: Total": Reference case,2-AEO2015.12.ref2015-d021915a,"quads",19.854654,21.103516,21.6404,20.704086,20.54406,20.44149,20.452694,20.519749,20.382298,20.284027,20.233303,20.232794,20.262432,20.252563,20.272051,20.315292,20.362137,20.429974,20.478725,20.512531,20.546091,20.580505,20.61985,20.661827,20.712166,20.767406,20.822716,20.863251,20.906126,"-0.0%"
Commercial,,2-AEO2015.14.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Use: Commercial: Propane": Reference case,2-AEO2015.15.ref2015-d021915a,"quads",0.13759,0.1487,0.1473,0.161343,0.157246,0.157247,0.158365,0.159511,0.16107,0.162517,0.163947,0.165015,0.166132,0.167181,0.167965,0.168879,0.169782,0.170535,0.171282,0.171861,0.172387,0.173167,0.174015,0.174963,0.176018,0.177212,0.178321,0.179095,0.179742,"0.7%"
Motor Gasoline,"Energy Use: Commercial: Motor Gasoline": Reference case,2-AEO2015.16.ref2015-d021915a,"quads",0.04334,0.04539,0.04588,0.044164,0.04352,0.044722,0.045487,0.046237,0.046877,0.047456,0.048065,0.048605,0.049093,0.049558,0.049989,0.050397,0.050764,0.051121,0.051469,0.051802,0.052134,0.052494,0.05292,0.05336,0.053854,0.054355,0.054819,0.055224,0.055662,"0.8%"
Kerosene,"Energy Use: Commercial: Kerosene": Reference case,2-AEO2015.17.ref2015-d021915a,"quads",0.00121,0.00118,0.00128,0.001737,0.001829,0.001491,0.001657,0.001812,0.001966,0.002108,0.002245,0.002367,0.002479,0.002581,0.002671,0.002748,0.00282,0.00289,0.002955,0.003023,0.003097,0.003174,0.003256,0.003347,0.003443,0.003534,0.003617,0.003702,0.00378,"4.4%"
Distillate Fuel Oil,"Energy Use: Commercial: Distillate Fuel Oil": Reference case,2-AEO2015.18.ref2015-d021915a,"quads",0.3583,0.36633,0.37576,0.345448,0.346664,0.346227,0.342846,0.340366,0.337628,0.33456,0.331174,0.327736,0.324352,0.321004,0.317626,0.31421,0.310797,0.307465,0.304155,0.300887,0.297705,0.29455,0.291456,0.288471,0.285587,0.282734,0.279803,0.276904,0.274061,"-1.1%"
Residual Fuel Oil,"Energy Use: Commercial: Residual Fuel Oil": Reference case,2-AEO2015.19.ref2015-d021915a,"quads",0.03177,0.02681,0.03132,0.077872,0.070609,0.071226,0.071773,0.07179,0.071827,0.071665,0.07147,0.071238,0.070958,0.07066,0.070314,0.069949,0.06958,0.069193,0.068791,0.068359,0.068006,0.067777,0.067421,0.067184,0.067007,0.066849,0.066637,0.065834,0.06482,"3.3%"
Petroleum and Other Liquids Subtotal,"Energy Use: Commercial: Liquid Fuels Subtotal": Reference case,2-AEO2015.20.ref2015-d021915a,"quads",0.57221,0.58841,0.60154,0.630563,0.619869,0.620913,0.620128,0.619716,0.619367,0.618307,0.616901,0.614961,0.613014,0.610984,0.608564,0.606183,0.603744,0.601202,0.598652,0.595933,0.59333,0.591163,0.589067,0.587325,0.585909,0.584685,0.583197,0.580759,0.578065,"-0.1%"
Natural Gas,"Energy Use: Commercial: Natural Gas": Reference case,2-AEO2015.21.ref2015-d021915a,"quads",2.96885,3.370661,3.54239,3.316514,3.294142,3.30999,3.325626,3.319046,3.297049,3.278768,3.274318,3.2779,3.285152,3.29439,3.304329,3.324539,3.356171,3.390962,3.426748,3.454662,3.479419,3.506331,3.534769,3.567751,3.602523,3.636691,3.667994,3.692597,3.713569,"0.4%"
Coal,"Energy Use: Commercial: Coal": Reference case,2-AEO2015.22.ref2015-d021915a,"quads",0.0437,0.04143,0.04772,0.047696,0.047672,0.047622,0.047623,0.047598,0.047553,0.047521,0.0475,0.047489,0.047477,0.047463,0.04745,0.047433,0.047418,0.047396,0.047382,0.047364,0.047347,0.047328,0.047314,0.0473,0.04728,0.047254,0.047232,0.047206,0.047181,"0.5%"
Renewable Energy,"Energy Use: Commercial: Renewable Energy": Reference case,2-AEO2015.23.ref2015-d021915a,"quads",0.10592,0.120455,0.120455,0.120455,0.120455,0.120455,0.120455,0.120455,0.120455,0.120455,0.120455,0.120455,0.120455,0.120455,0.120455,0.120455,0.120455,0.120455,0.120455,0.120455,0.120455,0.120455,0.120455,0.120455,0.120455,0.120455,0.120455,0.120455,0.120455,"0.0%"
Electricity,"Energy Use: Commercial: Electricity": Reference case,2-AEO2015.24.ref2015-d021915a,"quads",4.52887,4.56679,4.6318,4.656047,4.695537,4.718521,4.754403,4.793658,4.819945,4.843915,4.874217,4.908211,4.948225,4.986576,5.027308,5.06743,5.109058,5.154511,5.191511,5.230361,5.270423,5.311301,5.3543,5.402381,5.45604,5.511412,5.564687,5.614941,5.660184,"0.8%"
Delivered Energy,"Energy Use: Commercial: Delivered Energy": Reference case,2-AEO2015.25.ref2015-d021915a,"quads",8.21955,8.687746,8.943905,8.771276,8.777676,8.817502,8.868236,8.900475,8.90437,8.908965,8.93339,8.969016,9.014323,9.059869,9.108106,9.16604,9.236846,9.314527,9.384747,9.448774,9.510975,9.576579,9.645904,9.725212,9.812208,9.900498,9.983566,10.055956,10.119452,"0.6%"
Electricity Related Losses,"Energy Use: Commercial: Electricity Related Losses": Reference case,2-AEO2015.26.ref2015-d021915a,"quads",9.24445,9.416368,9.524616,9.50238,9.505565,9.441152,9.481565,9.594771,9.678896,9.709957,9.741161,9.793194,9.852267,9.883232,9.931672,9.982765,10.024547,10.081081,10.133554,10.180306,10.241525,10.302152,10.36489,10.431185,10.508804,10.590558,10.673656,10.74314,10.800573,"0.5%"
Total,"Energy Use: Commercial: Total": Reference case,2-AEO2015.27.ref2015-d021915a,"quads",17.464001,18.104115,18.468521,18.273655,18.283241,18.258654,18.3498,18.495247,18.583267,18.618923,18.674551,18.762211,18.86659,18.9431,19.039778,19.148806,19.261393,19.395607,19.518301,19.629082,19.752499,19.878731,20.010794,20.156397,20.321012,20.491056,20.657223,20.799095,20.920025,"0.5%"
Industrial,,2-AEO2015.29.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquefied Petroleum Gases and Other,"Energy Use: Industrial: Liquefied Petroleum Gases": Reference case,2-AEO2015.30.ref2015-d021915a,"quads",2.41986,2.51,2.4139,2.4834,2.6345,2.805786,2.97687,3.113399,3.203408,3.259989,3.350514,3.43801,3.509756,3.561785,3.592023,3.633748,3.685118,3.710519,3.721982,3.72077,3.714603,3.706243,3.697143,3.687947,3.682112,3.703321,3.725096,3.708724,3.672942,"1.4%"
Motor Gasoline,"Energy Use: Industrial: Motor Gasoline": Reference case,2-AEO2015.31.ref2015-d021915a,"quads",0.23928,0.2486,0.2502,0.2513,0.2508,0.253879,0.257313,0.259972,0.261697,0.262362,0.262503,0.261889,0.261485,0.260569,0.258723,0.257376,0.256562,0.255653,0.254808,0.252824,0.251151,0.249762,0.24891,0.248543,0.247826,0.247538,0.247376,0.246765,0.246795,"-0.0%"
Distillate Fuel Oil,"Energy Use: Industrial: Distillate Fuel Oil": Reference case,2-AEO2015.32.ref2015-d021915a,"quads",1.28271,1.3115,1.3626,1.3824,1.4198,1.42387,1.421445,1.424447,1.424239,1.413065,1.400241,1.394172,1.388732,1.382775,1.374843,1.372672,1.368233,1.364359,1.363463,1.357825,1.349405,1.344658,1.343576,1.34488,1.344781,1.345862,1.348349,1.347565,1.349954,"0.1%"
