"Table 18.  Energy-Related Carbon Dioxide Emissions by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=17-AEO2020&cases=ref2020&sourcekey=0"
"Thu Nov 05 2020 11:08:34 GMT-0600 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2019-2050)"
Residential,,17-AEO2020.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum,"Carbon Dioxide: Residential: Petroleum": Reference case,17-AEO2020.3.ref2020-d112119a,"MMmt CO2",62.32584,59.423439,57.40535,56.21278,54.997837,53.805286,52.65308,51.54763,50.56255,49.646698,48.824989,48.094696,47.404396,46.745869,46.100883,45.472443,44.867081,44.27726,43.708069,43.158871,42.618271,42.116131,41.631004,41.136078,40.65144,40.182571,39.723351,39.286293,38.8578,38.428093,38.013901,37.615059,"-1.6%"
Natural Gas,"Carbon Dioxide: Residential: Natural Gas": Reference case,17-AEO2020.4.ref2020-d112119a,"MMmt CO2",277.237976,271.594757,267.419708,266.833252,266.083282,265.357025,264.388947,263.162262,261.916473,260.807953,259.964722,259.075287,258.453186,257.887451,257.26181,256.608582,256.099365,255.707458,255.239441,254.772324,254.282608,253.87233,253.490982,253.083176,252.709213,252.387024,252.076996,251.770981,251.459259,251.147034,250.834,250.497772,"-0.3%"
Electricity,"Carbon Dioxide: Residential: Electricity": Reference case,17-AEO2020.5.ref2020-d112119a,"MMmt CO2",610.80426,569.248779,560.350586,534.736389,504.276886,490.947845,469.14743,479.762726,474.959351,471.374756,468.009979,460.83078,460.16571,461.917542,467.873077,472.03949,469.839111,469.831024,471.381073,470.677124,470.585144,472.221375,471.919312,471.75296,471.78537,471.285614,469.866821,473.146545,475.661957,479.497925,482.502197,486.516418,"-0.7%"
Total Residential,"Carbon Dioxide: Residential: Total": Reference case,17-AEO2020.6.ref2020-d112119a,"MMmt CO2",950.368042,900.266968,885.175659,857.78241,825.358032,810.110168,786.189453,794.472656,787.438354,781.829407,776.799683,768.000732,766.023315,766.550903,771.235779,774.120483,770.805542,769.815735,770.328613,768.608276,767.486023,768.209839,767.04126,765.972168,765.145996,763.855225,761.667175,764.203857,765.979004,769.073059,771.350098,774.629272,"-0.7%"
Commercial,,17-AEO2020.8.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum,"Carbon Dioxide: Commercial: Petroleum": Reference case,17-AEO2020.9.ref2020-d112119a,"MMmt CO2",60.875889,61.830235,61.774025,61.976887,62.046261,62.117203,62.211597,62.215389,62.195713,62.142895,62.094135,62.00983,61.964794,61.942619,61.887985,61.849361,61.818241,61.788094,61.778404,61.762772,61.741154,61.759842,61.773914,61.749493,61.743378,61.752399,61.743927,61.774109,61.785351,61.797501,61.823486,61.862408,"0.1%"
Natural Gas,"Carbon Dioxide: Commercial: Natural Gas": Reference case,17-AEO2020.10.ref2020-d112119a,"MMmt CO2",192.850739,188.578644,191.208847,192.217316,192.532639,192.652618,192.289597,191.905151,191.697113,191.799561,192.225128,192.570145,193.240341,194.006638,194.584045,195.055099,195.655991,196.447815,197.105209,197.722549,198.346283,199.075439,199.798615,200.523895,201.256012,202.039337,202.763184,203.451889,204.100616,204.814606,205.516708,206.212006,"0.2%"
Coal,"Carbon Dioxide: Commercial: Coal": Reference case,17-AEO2020.11.ref2020-d112119a,"MMmt CO2",1.58158,1.269954,1.2664,1.267507,1.260125,1.224826,1.209299,1.21341,1.191914,1.190698,1.194783,1.193327,1.190731,1.179433,1.179697,1.168024,1.175567,1.180773,1.167002,1.178766,1.170503,1.185903,1.170284,1.153697,1.120957,1.114485,1.101235,1.095799,1.086054,1.078989,1.069594,1.059683,"-1.3%"
Electricity,"Carbon Dioxide: Commercial: Electricity": Reference case,17-AEO2020.12.ref2020-d112119a,"MMmt CO2",570.681335,540.022461,530.740173,511.197113,484.604431,475.233551,456.232147,466.373993,462.04306,459.452087,456.184509,449.662689,449.081238,451.086853,456.646637,459.95401,456.575684,455.555695,456.545746,455.528473,455.268677,456.353088,455.803345,455.173248,455.128021,454.837585,453.853882,457.167511,460.034912,464.329315,468.04245,473.037994,"-0.6%"
