"Table 2.  Energy Consumption by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=2-AEO2020&sourcekey=0"
"Thu Nov 05 2020 11:07:22 GMT-0600 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2019-2050)"
Residential,,2-AEO2020.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Use: Residential: Propane": Reference case,2-AEO2020.3.ref2020-d112119a,"quads",0.461971,0.445098,0.434615,0.428609,0.422156,0.415806,0.409407,0.402906,0.396936,0.391699,0.387312,0.383657,0.380513,0.37766,0.374905,0.372192,0.369629,0.367113,0.364632,0.362231,0.359879,0.357713,0.355767,0.353816,0.351967,0.350226,0.34865,0.3472,0.345846,0.344502,0.343271,0.342129,"-1.0%"
Distillate Fuel Oil,"Energy Use: Residential: Distillate Fuel Oil": Reference case,2-AEO2020.5.ref2020-d112119a,"quads",0.453737,0.428607,0.410056,0.398932,0.387886,0.377058,0.366824,0.357316,0.348997,0.340991,0.333541,0.326709,0.319982,0.31344,0.306997,0.300745,0.29468,0.288786,0.283143,0.277705,0.272343,0.267346,0.262392,0.257308,0.252277,0.247368,0.24245,0.237725,0.233034,0.228319,0.223718,0.21925,"-2.3%"
Petroleum and Other Liquids Subtotal,"Energy Use: Residential: Liquid Fuels Subtotal": Reference case,2-AEO2020.6.ref2020-d112119a,"quads",0.915708,0.873705,0.844671,0.82754,0.810042,0.792864,0.776231,0.760222,0.745933,0.732691,0.720853,0.710366,0.700495,0.6911,0.681903,0.672937,0.664309,0.655899,0.647776,0.639937,0.632222,0.625059,0.618159,0.611124,0.604244,0.597594,0.591099,0.584924,0.57888,0.572821,0.566988,0.561379,"-1.6%"
Natural Gas,"Energy Use: Residential: Natural Gas": Reference case,2-AEO2020.7.ref2020-d112119a,"quads",5.225318,5.118956,5.040267,5.029212,5.015078,5.001389,4.983142,4.960023,4.936542,4.915648,4.899756,4.882992,4.871267,4.860604,4.848812,4.8365,4.826902,4.819516,4.810695,4.801891,4.79266,4.784928,4.77774,4.770054,4.763006,4.756934,4.75109,4.745323,4.739447,4.733562,4.727663,4.721325,"-0.3%"
Renewable Energy,"Energy Use: Residential: Renewable Energy": Reference case,2-AEO2020.8.ref2020-d112119a,"quads",0.528798,0.497847,0.472773,0.464017,0.456894,0.450933,0.444283,0.438233,0.430919,0.424324,0.417689,0.410458,0.403592,0.396494,0.390195,0.383606,0.376938,0.370167,0.363336,0.356943,0.350958,0.344539,0.338671,0.333925,0.329488,0.325213,0.321776,0.318154,0.31483,0.311707,0.308542,0.304949,"-1.8%"
Electricity,"Energy Use: Residential: Electricity": Reference case,2-AEO2020.9.ref2020-d112119a,"quads",4.901708,4.823184,4.92636,4.927616,4.920317,4.914204,4.906396,4.907807,4.914491,4.930502,4.955455,4.971805,4.995979,5.027018,5.060658,5.099177,5.142984,5.190172,5.239027,5.286225,5.333604,5.380973,5.429423,5.479617,5.530694,5.581798,5.635833,5.69314,5.750626,5.80932,5.870981,5.933415,"0.6%"
Delivered Energy,"Energy Use: Residential: Delivered Energy": Reference case,2-AEO2020.10.ref2020-d112119a,"quads",11.571532,11.313692,11.284071,11.248384,11.202332,11.15939,11.110052,11.066286,11.027884,11.003166,10.993752,10.975621,10.971334,10.975215,10.981565,10.992222,11.011131,11.035754,11.060833,11.084995,11.109445,11.135499,11.163993,11.19472,11.227432,11.261538,11.299797,11.341542,11.383783,11.42741,11.474174,11.521067,"-0.0%"
Electricity Related Losses,"Energy Use: Residential: Electricity Related Losses": Reference case,2-AEO2020.11.ref2020-d112119a,"quads",9.399048,9.11229,9.155044,8.959801,8.764197,8.648026,8.428144,8.270365,8.241381,8.229753,8.241421,8.257626,8.276129,8.289529,8.3031,8.306861,8.340706,8.383735,8.42365,8.455979,8.486302,8.517991,8.567176,8.625573,8.676179,8.741331,8.813067,8.895746,8.968778,9.033798,9.097357,9.172812,"-0.1%"
Total,"Energy Use: Residential: Total": Reference case,2-AEO2020.12.ref2020-d112119a,"quads",20.970581,20.425983,20.439114,20.208185,19.96653,19.807417,19.538197,19.336651,19.269264,19.232918,19.235172,19.233246,19.247463,19.264744,19.284664,19.299084,19.351837,19.419489,19.484482,19.540974,19.595747,19.65349,19.731169,19.820293,19.90361,20.002869,20.112865,20.237289,20.352562,20.461208,20.571531,20.693878,"-0.0%"
